failure_code,failure_type,definition,observable_signals,case_examples,severity,recommended_mitigation,public_wording
F01,Live project exposure before scaffolding,New employee is exposed to customer-specific implementation issues before core concepts are staged.,Customer meeting notes before basic training; unresolved implementation questions; client-specific exceptions first.,January client integration and production/inventory materials appeared early.,high,"Separate basic training from live project artifacts; mark files as basic, advanced, reference, or action.",Live project exposure before structured onboarding.
F02,Artifact fragmentation,"Materials are mixed by customer, domain, date, purpose, and status without a clear learning hierarchy.","Training files mixed with meeting notes, upload templates, videos, and customer artifacts.","Intro, sales, data comparison, production, and Excel materials were scattered across separate folders.",high,"Create artifact inventory, status labels, and folder taxonomy.",Artifact fragmentation increased self-onboarding burden.
F03,Role ambiguity,"The learner’s role shifts between trainee, observer, translator, note-taker, presenter, analyst, and data operator without boundaries.",Unclear deliverable ownership; early presentation; translation and data checking tasks.,"D&D presentation, O2C deck, sales order upload manual, data comparison files.",high,Define weekly role mode and deliverables; distinguish observation vs execution.,Role expectations were not clearly bounded.
F04,Domain overload,Too many business domains are introduced simultaneously.,"Sales, return, WMS, 3PL, manufacturing, BOM, MRP, costing, intercompany, accounting.","January-February materials mixed commerce, logistics, manufacturing and finance topics.",very_high,Limit domains by phase; provide domain map and prerequisites.,Domain overload compressed multiple ERP learning tracks.
F05,Knowledge status ambiguity,"Learner cannot tell whether an artifact is official, draft, reference, customer-specific, obsolete, or action-required.","Multiple versions, meeting notes, rough training slides, customer files, self-study notes.","Manufacturing training, BOM templates, To-Do sheets, meeting summaries and videos.",high,"Add status tags: official, draft, reference, customer-specific, practice, sensitive.",The status of knowledge artifacts was ambiguous.
F06,Feedback loop weakness,Understanding and progress are not systematically checked despite many assignments or materials.,Few explicit weekly learning goals; limited visible review/feedback traces.,Large number of outputs and self-study files without visible staged assessment.,medium_high,"Weekly check-ins, concept quizzes, review notes, mentor feedback log.",Feedback existed as events but not as a clear system.
F07,Self-onboarding burden,Learner must build personal knowledge system because official path is incomplete.,"Keyword files, NetSuite Study, personal notes, reconstructed maps.",Keyword summary and NetSuite Study files.,high,Provide official roadmap and glossary; validate self-study files.,The learner created structure that onboarding should have provided.
F08,Security/access boundary risk,Access-related files or credentials are mixed with training/project artifacts.,ID/account sheets; login/2FA references; customer access references.,E-commerce ID/account files and login materials appeared among project artifacts.,very_high,Separate credentials; use password manager; never mix access files with training materials.,Access-governance artifacts require strict separation.
F09,Video-based knowledge compression,Long screen-share videos contain multiple concepts without modular indexing.,Item/BOM/outsourced manufacturing in one video; NetSuite screen + Word + Excel switching.,Production 업무 4/5 videos.,medium_high,"Split videos into modules; add timestamps, checklists, exercises.",Screen-sharing is not automatically structured training.
F10,Master data governance overload,High-risk ERP master data is introduced before adequate scaffold.,"Item, Costing Method, Units Type, External ID, BOM, Routing, Lot/Serial.",Uvify and production materials.,very_high,Teach master data hierarchy before customer artifacts; use sandbox exercises.,Master data risk exceeded normal beginner onboarding.
F11,Data reconciliation overload,New employee is exposed to multi-system mismatch analysis too early.,NetSuite vs Eccang/Armlogi/Shopify/Wayfair/Walmart comparison files.,May comparison and return materials.,high,Provide source-of-truth map and reconciliation checklist.,Operational data quality work was introduced early.
F12,Manufacturing-accounting coupling,"Production artifacts require understanding inventory, costing and financial impact simultaneously.","WO Build, GL Impact, COGS, WIP, manufacturing cost, intercompany.",Production 업무 1-5 and later factory data.,very_high,"Separate manufacturing flow from accounting impact first, then integrate.",Manufacturing ERP topics were coupled with finance too early.
