role_mode,expected_tasks,observed_evidence,risk,boundary_needed,monitoring_question
learner,Study product basics and ask questions.,Many reference PDFs and D&D materials appeared.,"If not staged, learning becomes unbounded.",Product basics only; no customer deliverable ownership.,What concepts are required this week? What can wait?
meeting_observer,Attend customer meetings and understand context.,Meeting summaries from January onward.,Live customer context may become hidden responsibility.,Observe and summarize; no decision authority.,Is the employee expected to act or only observe?
note_taker,Capture meeting points and questions.,Many meeting summary documents existed.,Note-taking can become consulting analysis without support.,Record facts; questions reviewed by senior.,Who reviews meeting notes and clarifies misunderstandings?
translator,Translate or summarize English technical/business materials.,"Carsome subtitles, payment help, English training materials.",Language work consumes learning time and changes role identity.,Translation tasks should be separated from ERP learning milestones.,Is translation treated as learning support or deliverable?
presentation_preparer,Prepare alignment/O2C decks or demo materials.,O2C and alignment decks appeared in February.,Early presenter role requires conceptual mastery.,Presentation only after guided rehearsal and feedback.,Was feedback given before presentation output was expected?
data_checker,Compare ERP and external-system data.,NetSuite/Eccang/Armlogi/Shopify/Wayfair/Walmart comparison files.,"Data reconciliation is operational responsibility, not beginner learning.",Use sandbox/synthetic data first; clear source-of-truth map.,What authority does the employee have to judge mismatch?
manual_author,Create workflow manual or upload procedure.,US Sales Order Uploading Manual appeared.,Manual writing externalizes company knowledge through a new employee.,"Provide template, reviewer, and final ownership.",Who approves the manual as official?
manufacturing_erp_trainee,"Learn Item, BOM, Routing, Work Order, MRP, costing.",Production 업무 1-5 materials.,Manufacturing ERP has high prerequisite load.,Stage concepts by module; practice in sandbox.,Which manufacturing concepts are beginner vs advanced?
self_onboarding_manager,Build private glossary and study sheets.,Keyword and NetSuite Study files.,Organization shifts curriculum design to employee.,"Use self-study as supplement, not primary structure.",Which parts of self-study are validated by mentor?
project_support_person,Support live project outputs and analysis.,Live customer artifacts and implementation templates appeared.,Role escalation can occur without explicit promotion or training.,Define project-support boundaries clearly.,What deliverables is the employee accountable for?
