risk_tag,count
domain_switching,4
multi_system_complexity,4
artifact_fragmentation,4
domain_overload,3
manufacturing_overload,3
data_quality_burden,3
self_onboarding,2
intercompany_overload,2
formal_training_overload,2
task_escalation,2
language_workload_overlap,2
master_data_overload,2
video_compression,2
role_escalation,2
role_ambiguity,2
business_context_switching,1
scaffolding_gap,1
missing_sequence,1
reference_overload,1
access_boundary_risk,1
field_mapping_overload,1
education_plan_gap,1
finance_coupling,1
live_delivery,1
troubleshooting_before_scaffold,1
role_mixing,1
knowledge_fragmentation,1
concept_practice_merge,1
compressed_training,1
process_before_basics,1
live_project_exposure,1
data_migration_overload,1
internal_process_gap,1
feedback_loop_needed,1
early_presentation_pressure,1
transaction_masterdata_merge,1
inventory_complexity,1
manufacturing_finance_coupling,1
self_onboarding_burden,1
feedback_trace,1
role_clarification_needed,1
data_import_burden,1
manualization_pressure,1
data_reconciliation,1
exception_handling,1
return_process_complexity,1
mrp_complexity,1
system_mapping,1
deliverable_pressure,1
knowledge_externalization,1
reconciliation_overload,1
outsourcing_complexity,1
phantom_design,1
customer_context_switch,1
process_design,1
field_process_analysis,1
production_p2p_coupling,1
master_data_work,1
implementation_deliverable,1
factory_data_overload,1
upload_test_burden,1
costing_complexity,1
reporting_structure,1
